run,iteration,algorithm,hv,spacing,archive_size,time
2,4,MOVNS,1568662.4503000975,0.19100137698481573,17,0.07982444763183594
2,5,MOVNS,1570532.787870288,0.18598864220721295,19,0.1167902946472168
2,6,MOVNS,1744034.4872325659,0.17901050304658567,24,0.14040088653564453
2,7,MOVNS,1744034.4872325659,0.174743890467632,26,0.17140841484069824
2,8,MOVNS,1810875.8206329346,0.1737876399354335,25,0.18884921073913574
2,9,MOVNS,1810875.8206329346,0.1737876399354335,25,0.2068922519683838
2,10,MOVNS,1467661.9830536842,0.1741307374543802,25,0.22672510147094727
2,11,MOVNS,1159942.0297116041,0.18663201556794232,23,0.23936080932617188
2,12,MOVNS,1210645.5599611998,0.15564966787553164,25,0.26172375679016113
2,13,MOVNS,1210645.5599611998,0.1473087226384473,30,0.29822850227355957
2,14,MOVNS,1210645.5599611998,0.14475809787717736,32,0.3210568428039551
2,15,MOVNS,1210645.5599611998,0.1431977547978847,33,0.3404817581176758
2,16,MOVNS,1370366.929464221,0.13501505476062642,36,0.3577275276184082
2,17,MOVNS,1370366.929464221,0.13372481696264038,37,0.3847532272338867
2,18,MOVNS,1319663.3992146254,0.09389232880946743,38,0.4071156978607178
2,19,MOVNS,1319663.3992146254,0.09389232880946743,38,0.4071156978607178
2,20,MOVNS,1319663.3992146254,0.09389232880946743,38,0.4071156978607178
2,21,MOVNS,1319663.3992146254,0.09389232880946743,38,0.4071156978607178
2,22,MOVNS,1319663.3992146254,0.09389232880946743,38,0.4071156978607178
2,23,MOVNS,1319663.3992146254,0.09389232880946743,38,0.4071156978607178
